id,yil,puan_turu,siralama,yks_puan,obp,tyt_turkce,tyt_matematik,tyt_sosyal,tyt_fen,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_tded,ayt_tarih1,ayt_cografya1,ayt_tarih2,ayt_cografya2,ayt_felsefe,ayt_din
1,2022,SAY,100,349.69,97.01,36.61,37.87,17.98,19.16,36.18,12.66,12.3,12.23,0,0,0,0,0,0,0
2,2022,SAY,250,349.54,97.39,36.94,38.02,18.24,18.69,37.11,12.5,12.15,11.34,0,0,0,0,0,0,0
3,2022,SAY,500,347.92,97.26,36.19,37.7,17.81,18.27,35.42,12.33,12.55,12.47,0,0,0,0,0,0,0
4,2022,SAY,1000,342.69,96.1,36.54,36.04,16.23,17.22,35.71,12.13,11.47,12.14,0,0,0,0,0,0,0
5,2022,SAY,2000,331.78,89.34,34.7,33.56,17.02,16.77,34.31,11.95,11.35,11.21,0,0,0,0,0,0,0
6,2022,SAY,3500,333.01,93.51,33.51,34.68,16.29,16.51,34.74,11.36,10.75,11.56,0,0,0,0,0,0,0
7,2022,SAY,5000,323.34,95.16,32.72,31.68,15.15,15.39,31.33,11.79,11.23,9.98,0,0,0,0,0,0,0
8,2022,SAY,7500,325.38,99.35,31.54,31.96,14.64,16.37,31.98,11.01,10.21,10.95,0,0,0,0,0,0,0
9,2022,SAY,10000,317.98,92.98,30.81,31.3,15.1,14.77,31.62,10.77,9.94,10.59,0,0,0,0,0,0,0
10,2022,SAY,15000,310.56,98.6,28.86,28.96,13.13,14.76,29.56,10.2,9.54,9.49,0,0,0,0,0,0,0
11,2022,SAY,20000,304.8,91.64,27.61,28.41,13.52,14.51,29.01,9.94,9.77,9.65,0,0,0,0,0,0,0
12,2022,SAY,28000,299.16,97.69,27.34,25.65,13.12,13.65,26.55,9.22,9.35,9.35,0,0,0,0,0,0,0
13,2022,SAY,35000,281.43,88.16,25.29,24.35,11.7,12.5,24.12,9.28,8.08,8.14,0,0,0,0,0,0,0
14,2022,SAY,45000,284.8,99.0,22.86,24.41,12.33,10.94,24.74,7.96,7.94,8.15,0,0,0,0,0,0,0
15,2022,SAY,50000,273.35,84.45,23.54,23.91,10.46,11.08,23.45,8.57,8.25,7.52,0,0,0,0,0,0,0
16,2022,SAY,65000,266.37,90.25,20.69,20.87,10.47,11.49,22.55,7.52,6.29,7.22,0,0,0,0,0,0,0
17,2022,SAY,75000,246.4,67.87,20.93,21.87,9.4,9.87,21.28,7.17,6.13,5.83,0,0,0,0,0,0,0
18,2022,SAY,90000,241.11,73.2,19.69,17.82,8.78,9.04,19.72,5.87,6.16,5.87,0,0,0,0,0,0,0
19,2022,SAY,100000,238.36,74.08,17.68,17.13,9.56,9.04,18.95,5.77,5.89,5.75,0,0,0,0,0,0,0
20,2022,SAY,120000,235.82,87.65,16.6,17.15,7.02,7.89,15.49,6.43,4.6,5.4,0,0,0,0,0,0,0
21,2022,SAY,130000,230.76,78.96,15.55,16.61,6.9,8.14,16.78,4.89,5.13,5.54,0,0,0,0,0,0,0
22,2022,SAY,150000,216.17,74.29,15.14,13.4,7.53,6.8,14.01,4.85,3.95,4.31,0,0,0,0,0,0,0
23,2022,SAY,170000,217.08,86.51,12.45,13.08,6.77,6.21,12.82,4.25,4.17,3.59,0,0,0,0,0,0,0
24,2022,SAY,200000,213.89,86.15,11.71,12.21,6.04,4.95,12.47,4.5,3.84,3.46,0,0,0,0,0,0,0
25,2022,SAY,220000,192.24,67.96,10.69,10.64,5.72,4.64,8.96,3.6,3.36,3.31,0,0,0,0,0,0,0
26,2022,SAY,260000,181.7,72.12,8.35,8.19,3.94,3.34,7.31,2.41,2.66,1.93,0,0,0,0,0,0,0
27,2022,SAY,300000,175.97,72.47,6.94,5.12,3.27,3.49,6.7,1.61,2.17,1.97,0,0,0,0,0,0,0
28,2022,SAY,350000,165.22,76.19,5.0,3.28,2.0,1.42,2.55,1.21,1.89,1.7,0,0,0,0,0,0,0
29,2022,SAY,400000,164.84,86.05,5.0,0.74,2.0,0.2,2.48,0.8,1.32,0.39,0,0,0,0,0,0,0
30,2022,EA,100,337.44,97.3,37.68,34.52,18.23,12.53,33.99,0,0,0,21.33,8.92,5.74,0,0,0,0
31,2022,EA,250,334.39,91.11,37.35,34.7,18.13,12.37,33.77,0,0,0,22.51,8.69,5.47,0,0,0,0
32,2022,EA,500,333.88,97.64,35.51,33.74,17.1,12.28,34.53,0,0,0,20.56,8.98,5.06,0,0,0,0
33,2022,EA,1000,322.74,89.96,35.86,32.06,17.31,11.6,31.83,0,0,0,21.15,8.17,4.81,0,0,0,0
34,2022,EA,2000,318.14,88.07,35.16,32.16,15.81,11.02,31.71,0,0,0,20.14,8.07,4.92,0,0,0,0
35,2022,EA,3500,313.69,85.33,33.15,30.94,16.61,11.43,31.81,0,0,0,19.6,7.86,4.56,0,0,0,0
36,2022,EA,5000,317.98,94.1,32.71,30.08,15.46,9.96,31.9,0,0,0,19.56,8.26,4.78,0,0,0,0
37,2022,EA,7500,314.04,98.69,33.08,29.28,14.98,10.29,30.42,0,0,0,18.43,7.84,4.2,0,0,0,0
38,2022,EA,10000,314.75,98.31,31.29,29.91,15.42,10.49,30.19,0,0,0,19.13,7.39,4.86,0,0,0,0
39,2022,EA,15000,301.01,96.04,29.48,28.28,14.11,8.76,27.26,0,0,0,17.82,7.22,4.27,0,0,0,0
40,2022,EA,20000,299.62,94.83,29.09,25.36,14.16,8.32,27.86,0,0,0,17.81,7.23,4.4,0,0,0,0
41,2022,EA,28000,283.78,85.26,28.07,25.4,12.37,8.31,26.03,0,0,0,15.33,6.81,4.32,0,0,0,0
